"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","OID_","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"276","All Fire","14790_60_61_63_64_65_66",0.0017616,"Central Interior and Appalachian Swamp Systems",1557,1,234,0,0.4122144
"277","All Fire","14800_45_98",0.0024704,"Gulf and Atlantic Coastal Plain Swamp Systems",1122,0.701961,473,0,1.1684992
"278","All Fire","14800_46_56_58_60_64_65_66",0.0045436,"Gulf and Atlantic Coastal Plain Swamp Systems",1428,0.701961,5555,0,25.239698
"279","All Fire","14800_46_56_58_60_64_65_66",0.0045436,"Gulf and Atlantic Coastal Plain Swamp Systems",1500,0.701961,46135,0,209.618986
"280","All Fire","14800_46_56_58_60_64_65_66",0.0045436,"Gulf and Atlantic Coastal Plain Swamp Systems",1523,0.701961,1197,0,5.4386892
"281","All Fire","14810_41_50_51_63",0.000999,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1201,1,3774997,1.4,3771.222003
"282","All Fire","14810_41_50_51_63",0.000999,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1147,1,1157824,0.4,1156.666176
"283","All Fire","14810_41_50_51_63",0.000999,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1172,1,1150401,0.4,1149.250599
"284","All Fire","14810_41_50_51_63",0.000999,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1467,1,42617,0,42.574383
"285","All Fire","14820_39_40",0.0197828,"Great Plains Prairie Pothole",1219,0.639216,253603,0.1,5016.9774284
"286","All Fire","14820_39_40",0.0197828,"Great Plains Prairie Pothole",1234,0.639216,108840,0,2153.159952
"287","All Fire","14880_38_42_43",0.334843,"Eastern Great Plains Wet Meadow-Prairie-Marsh",1612,0.2,29,0,9.710447
"288","All Fire","14880_38_42_43",0.334843,"Eastern Great Plains Wet Meadow-Prairie-Marsh",1691,0.2,5172,0,1731.807996
"289","All Fire","14900_60",0.1932566,"Gulf and Atlantic Coastal Plain Tidal Marsh Systems",1429,0,4216,0,814.7698256
"290","All Fire","14900_65_66",0.0020332,"Gulf and Atlantic Coastal Plain Tidal Marsh Systems",1501,0,36184,0,73.5693088
"291","All Fire","14930_41_42_44_50",0.0590382,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1174,0.078431,579373,0.2,34205.1390486
"292","All Fire","14930_41_42_44_50",0.0590382,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1149,0.078431,294152,0.1,17366.2046064
"293","All Fire","14930_41_42_44_50",0.0590382,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1692,0.078431,36677,0,2165.3440614
"294","All Fire","14930_41_42_44_50",0.0590382,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1720,0.078431,1,0,0.0590382
"295","All Fire","14930_52_62",0.0580966,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1538,0.078431,171994,0.1,9992.2666204
"296","All Fire","14930_52_62",0.0580966,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1480,0.078431,15730,0,913.859518
"297","All Fire","14940_41_50_51",0.0564512,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1175,0.419608,982445,0.4,55460.199184
"298","All Fire","14940_41_50_51",0.0564512,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1150,0.419608,210152,0.1,11863.3325824
"299","All Fire","14940_41_50_51",0.0564512,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1203,0.419608,2761,0,155.8617632
"300","All Fire","14940_63_65_66",0.0012218,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1469,0.419608,58340,0,71.279812
