"","OID_","Value","Count","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"68",1520,1958,4306897,14750,64,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,-9999,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784,957831,0.4
"69",1536,1974,4933539,14790,52,"14790_52_62","Central Interior and Appalachian Swamp Systems","Riparian",989,-9999,-9999,989,100,-9999,-9999,"V-B",207,61,255,0.811765,0.239216,1,1097193,0.4
"70",1583,2021,5202228,13210,49,"13210_49","South-Central Interior Mesophytic Forest","Hardwood",708,809,548,223,32,28,40,"V-A",71,135,148,0.278431,0.529412,0.580392,1156948,0.4
"71",1687,2125,4563577,14210,42,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,-9999,-9999,4,100,-9999,-9999,"II-A",232,255,196,0.909804,1,0.768627,1014915,0.4
"72",1157,1593,3460313,13440,41,"13440_41","Boreal Jack Pine-Black Spruce Forest","Conifer",82,-9999,-9999,82,100,-9999,-9999,"IV-A",255,140,140,1,0.54902,0.54902,769555,0.3
"73",1167,1605,3308445,14440,41,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",-9999,581,312,203,-9999,35,65,"V-A",69,69,156,0.270588,0.270588,0.611765,735780,0.3
"74",1180,1618,3232093,13110,51,"13110_51","North-Central Interior Dry Oak Forest and Woodland","Hardwood",137,111,11,9,7,8,85,"I-B",179,207,143,0.701961,0.811765,0.560784,718800,0.3
"75",1186,1624,3317735,13652,51,"13652_51","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Conifer",872,1306,-9999,523,60,40,-9999,"V-B",110,137,70,0.431373,0.537255,0.27451,737847,0.3
"76",1413,1851,3267370,13690,60,"13690_60_61_63_64_65_66","Central Appalachian Dry Oak-Pine Forest","Hardwood-Conifer",182,463,15,14,8,3,89,"I-B",0,255,220,0,1,0.862745,726646,0.3
"77",1438,1876,4011452,13210,61,"13210_61_63","South-Central Interior Mesophytic Forest","Hardwood",847,573,102,78,9,14,77,"III-A",71,135,148,0.278431,0.529412,0.580392,892125,0.3
